t1h_inlet,t2h_inlet,t0_small,t2h_small,t0_middle,t2h_middle,t0_large,t2h_large,small_postculture_day3,small_postculture_day6
18.57,16.24,17.04,15.2,29.9,22.78,61.66,31.24,12.66,16.8
15.1,16.81,21.02,16.32,23.6,16.44,74.48,26.36,13.39,15.41
16.07,15.71,21.04,15.82,20.29,23.46,41.19,38.09,14.78,20.63
15.42,12.99,17.96,17.31,12.02,29.62,51.93,35.79,14.94,15.98
15.59,14.92,20.65,13.66,23.56,27.3,52,32.75,16.46,16.15
15.04,15.95,24.93,16.95,17.27,29.09,74.25,34.7,14.33,21.05
14.32,22.53,15,13.79,21.99,19.56,49.67,35.57,12.16,17.38
13.87,15.54,17.89,12.99,21.22,41.33,60.39,44.48,21.67,15.62
16.54,16.49,19.3,15.25,23.71,31.79,56.52,36.44,14.12,22.49
17.56,16.79,18.42,16.92,25.8,31.11,44.87,36.3,15.77,20.71
14.88,21.56,17.47,14.64,20.37,28.36,36.76,26.62,16.7,17.64
15.94,19.2,19.76,15.6,26.58,26.62,73.94,45.32,14.55,14.04
14.82,14.18,22.93,16.47,19.4,26.41,58.46,28.56,13.15,19.26
12.14,16.98,21.3,16.29,30.92,24.35,43.46,23.87,16.32,15.54
16.47,18.76,20.42,16.17,21.19,33.48,37.01,27.21,14.12,14.53
17.11,22.42,15.79,16.98,25.51,30.46,68.55,38.02,12.64,17.24
18.44,11.39,17.62,18.18,35.5,25.18,56.03,34.48,15.53,16.62
18.08,16.22,16.57,14.05,28.52,25.9,48.48,33.44,16.21,17.02
19.94,17.11,17.96,14.06,31.55,,53.96,35.66,12.94,17.28
18.14,15.15,17.82,17.77,31.13,,60.15,39.84,12.39,16.38
15.24,15.63,18.5,16.44,29.17,,53.64,30.19,15.29,14.25
16.94,14.89,16.68,14.19,35.33,,60.95,34.88,14.97,18.91
17.34,24.1,15.55,13.07,35.92,,68.42,42.97,13.42,14.86
17.65,14.72,23.74,11.25,34.62,,72.97,30.31,14.26,15.17
13.36,14.5,22.83,15.36,31.26,,76.13,32.98,14.1,15.73
16.1,18.45,21.91,15.57,37.26,,53.37,44.96,14.38,20.2
43.48,18.9,23.38,13.89,20.72,,79.12,31.42,13.82,17.83
18.08,20.04,18.96,14.62,,,77.05,35.12,11.23,19.15
14.73,18.56,15.32,14.35,,,44.35,36,15.59,17.42
16.17,22.12,14.79,14.39,,,50.77,31.11,16.54,16.49
18.13,13.87,22.97,16.92,,,57.29,35.5,12.9,22
14.13,19.69,16.24,15.58,,,48.81,26.34,26.77,19.26
12.02,15.09,19.25,15.56,,,54.49,32.26,14.33,12.86
16.61,20,19.18,19.54,,,37.22,53.38,14.36,17.8
19.06,18.14,13.2,18.88,,,54.38,41.92,15.67,16.39
15.93,16.5,22.46,14.27,,,55.43,48.89,15.82,20.52
12.93,16.35,16.14,13.03,,,55.44,30.58,28.62,16.44
16.94,18.32,20.43,14.14,,,86.07,34.23,14.29,22.69
14.72,16.76,19.91,15.26,,,57.35,38.54,12.78,19.74
15.81,15.3,19.7,16.19,,,39.61,30.37,9.3,17.18
18.15,14.34,18.32,13.97,,,35.39,21.96,17.13,16.98
24.55,13.62,22.07,22.42,,,31.42,24.59,12.44,17.94
17.03,19.94,18.08,13.82,,,35.24,30.76,13.19,14.31
25.32,17.87,20.34,12.88,,,,28.77,13.31,15.07
17.78,14.38,21.44,16.61,,,,,13.27,14.46
17.34,18.69,21.82,14.63,,,,,12.65,13.77
