BinLow,inlet,small,middle,large
2,0,0,0,0
2.11,0,0,0,0
2.21,0,0,0,0
2.32,0,0,0,0
2.43,0,0,0,0
2.54,0,0,0,0
2.64,0,0,0,0
2.75,0,0,0,0
2.86,0,0,0,0
2.96,0,0,0,0
3.07,0,0,0,0
3.18,0,0,0,0
3.29,0,0,0,0
3.39,0,0,0,0
3.5,0,0,0,0
3.61,0,0,0,0
3.71,0,0,0,0
3.82,0,0,0,0
3.93,0,0,0,0
4.04,0,0,0,0
4.14,0,0,0,0
4.25,0,0,0,0
4.36,0,0,0,0
4.46,0,0,0,0
4.57,0,0,0,0
4.68,0,0,0,0
4.79,0,0,0,0
4.89,0,0,0,0
5,0,0,0,0
5.11,0,0,0,0
5.21,0,0,0,0
5.32,0,0,0,0
5.43,0,0,0,0
5.54,0,0,0,0
5.64,0,0,0,0
5.75,0,0,0,0
5.86,0,0,0,0
5.96,0,0,0,0
6.07,0,0,0,0
6.18,1,0,0,0
6.29,0,0,0,0
6.39,0,0,0,0
6.5,2,0,0,0
6.61,0,0,0,0
6.71,0,0,0,0
6.82,1,0,0,0
6.93,0,0,0,0
7.04,1,0,0,0
7.14,1,0,0,0
7.25,2,1,0,0
7.36,0,0,0,0
7.46,0,0,0,0
7.57,1,0,0,0
7.68,0,0,0,0
7.79,2,0,0,0
7.89,0,0,0,0
8,2,1,0,0
8.11,1,0,0,0
8.21,2,0,0,0
8.32,4,0,0,0
8.43,3,2,0,0
8.54,1,1,0,0
8.64,2,0,0,0
8.75,5,1,0,0
8.86,6,1,0,0
8.96,3,1,0,0
9.07,2,2,0,0
9.18,4,2,0,0
9.29,3,0,0,0
9.39,7,3,1,0
9.5,2,2,0,0
9.61,1,1,0,0
9.71,5,2,0,0
9.82,1,3,0,0
9.93,2,3,0,0
10.04,3,3,0,0
10.14,3,3,0,0
10.25,4,8,0,0
10.36,3,6,0,0
10.46,5,3,1,0
10.57,3,3,0,0
10.68,2,4,1,0
10.79,2,7,0,0
10.89,0,7,0,0
11,3,7,1,0
11.11,0,7,1,0
11.21,2,7,1,0
11.32,3,10,1,0
11.43,2,11,0,0
11.54,3,13,0,0
11.64,0,9,1,0
11.75,1,16,1,0
11.86,4,16,0,1
11.96,7,19,1,0
12.07,6,19,1,1
12.18,1,17,1,1
12.29,4,22,0,0
12.39,4,15,1,0
12.5,1,26,0,0
12.61,7,32,0,1
12.71,11,28,1,2
12.82,7,40,0,0
12.93,8,36,0,0
13.04,6,38,1,0
13.14,7,38,2,1
13.25,9,48,0,0
13.36,13,35,1,1
13.46,8,45,2,0
13.57,13,63,2,1
13.68,12,56,1,1
13.79,12,68,4,0
13.89,9,61,1,0
14,15,56,4,0
14.11,16,64,4,0
14.21,12,57,2,2
14.32,18,66,1,1
14.43,15,69,2,1
14.54,18,66,5,2
14.64,20,59,2,2
14.75,15,58,2,3
14.86,26,64,3,0
14.96,26,80,2,1
15.07,25,66,2,1
15.18,21,75,2,3
15.29,28,63,2,1
15.39,37,69,3,1
15.5,20,67,2,2
15.61,29,98,3,4
15.71,36,78,0,1
15.82,28,66,2,1
15.93,31,54,5,3
16.04,34,72,3,6
16.14,38,75,3,3
16.25,31,56,2,5
16.36,45,71,5,11
16.46,49,84,1,3
16.57,39,58,4,3
16.68,26,47,1,6
16.79,47,55,4,3
16.89,56,65,6,5
17,51,58,3,3
17.11,53,47,0,6
17.21,61,52,1,5
17.32,61,49,2,2
17.43,70,60,1,0
17.54,64,50,4,4
17.64,52,59,0,5
17.75,59,47,3,1
17.86,54,45,3,1
17.96,67,41,1,6
18.07,65,51,3,6
18.18,73,50,6,4
18.29,69,50,4,9
18.39,75,44,5,3
18.5,72,34,4,11
18.61,70,44,3,7
18.71,74,36,4,8
18.82,80,32,3,11
18.93,74,32,4,6
19.04,59,43,4,7
19.14,60,31,1,6
19.25,56,33,3,4
19.36,70,21,7,10
19.46,69,31,5,1
19.57,83,26,2,6
19.68,67,16,1,2
19.79,76,25,0,5
19.89,86,21,1,2
20,56,23,5,9
20.11,88,26,3,7
20.21,79,22,8,8
20.32,70,20,1,4
20.43,56,8,1,1
20.54,69,20,5,2
20.64,53,11,5,9
20.75,52,8,2,5
20.86,59,13,4,4
20.96,48,10,0,3
21.07,58,10,3,6
21.18,53,15,3,2
21.29,45,6,1,5
21.39,41,8,1,8
21.5,36,8,6,4
21.61,36,6,5,4
21.71,32,1,4,2
21.82,39,5,2,4
21.93,43,4,2,3
22.04,27,5,4,4
22.14,23,2,6,3
22.25,31,2,3,3
22.36,24,4,3,2
22.46,25,5,3,3
22.57,28,1,4,3
22.68,25,3,3,4
22.79,26,1,3,4
22.89,22,2,1,4
23,16,4,1,1
23.11,15,1,1,4
23.21,15,2,4,3
23.32,20,2,0,5
23.43,7,2,3,5
23.54,12,2,2,3
23.64,9,1,3,9
23.75,10,0,4,2
23.86,6,0,0,4
23.96,14,1,1,4
24.07,6,2,2,10
24.18,7,0,1,8
24.29,10,1,1,7
24.39,4,0,3,9
24.5,5,1,1,4
24.61,8,1,2,6
24.71,5,0,1,9
24.82,5,0,2,8
24.93,6,1,2,4
25.04,6,1,2,5
25.14,7,0,2,9
25.25,6,0,2,2
25.36,5,0,1,6
25.46,3,0,1,6
25.57,5,0,1,9
25.68,5,1,1,7
25.79,8,0,0,9
25.89,2,0,2,6
26,5,0,0,4
26.11,6,1,2,8
26.21,4,0,0,11
26.32,0,1,0,6
26.43,2,1,0,7
26.54,7,0,1,3
26.64,3,0,1,4
26.75,2,0,0,5
26.86,2,0,0,3
26.96,3,1,1,5
27.07,2,1,0,4
27.18,4,0,0,5
27.29,5,0,0,3
27.39,3,0,0,5
27.5,4,0,0,2
27.61,5,0,1,4
27.71,0,0,0,4
27.82,3,0,0,5
27.93,4,0,1,5
28.04,0,0,1,3
28.14,1,0,0,5
