"cellnumber","xposition1","yposition1","xposition2","yposition2","xposition3","yposition3"
"1","988.01","2058.57","1091.58","2209.42","1222.17","2409.81"
"2","3558.16","3142.69","3623.46","3298.05","3663.99","3363.35"
"3","886.69","1469.22","1053.31","1613.32","1114.1","1764.18"
"4","3037.49","3265.4","3078.02","3445.53","3145.57","3537.84"
"5","1691.62","3104.98","1813.21","3062.2","1923.53","3183.78"
"6","601.87","288.28","824.78","583.24","1054.43","842.17"
"7","2067.07","757.17","2215.67","905.77","2380.04","1063.38"
"8","3103.91","2331.01","3236.76","2409.81","3333.57","2565.17"
"9","2695.82","206.66","2790.38","488.11","2826.41","711.01"
"10","1237.37","641.78","1338.69","684.56","1397.23","909.71"
"11","2573.67","179.64","2573.67","366.52","2733.53","571.42"
