number,intensityeee,diameter,area,convexity,intensity2,diameter2,area2,convexity2,intensity3,diameter3,area3,convexity3
1,11686.048,53.455845,1335,0.7392027,10842.951,51.213203,1189,0.6904762,9477.298,45.112698,1035,0.716759
2,11789.292,93.15433,3857,0.765126,10924.836,69.01219,2126,0.7428372,9454.774,62.112698,1689,0.71811223
3,11876.247,67.28427,2158,0.7830189,11368.925,100.669044,3085,0.6718206,10471.063,86.01219,2547,0.6257985
4,12243.442,69.1127,2246,0.7427249,10702.569,56.526913,1464,0.73939395,10892.649,68.84062,1864,0.7191358
5,11884.61,89.669044,3695,0.693506,10844.635,86.01219,3369,0.7505012,10373.546,92.15433,3440,0.79135036
6,12187.299,74.01219,2387,0.72202057,10639.888,70.941124,1910,0.75793654,11271.836,74.18377,2546,0.673545
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
