cellnumber,xposition1,yposition1,xposition2,yposition2,xposition3,yposition3,xtotalchange,ytotalchange,totalxy
1,3297.55,3018.67,3068.29,3161.47,3088.17,3295.96,249.14,277.29,263.215
2,1893.14,1399.61,1905.15,1428.13,1803.08,1411.62,114.08,45.0300000000004,79.5550000000003
3,2586.06,2232.5,2592.81,2248.26,2750.42,2282.04,164.36,49.54,106.95
4,1898.2,2306.24,1857.68,2423.32,1837.41,2340.01,60.79,200.39,130.59
5,10.91,1886.89,48.06,1870,34.55,1866.62,50.66,20.2700000000002,35.4650000000001
6,1866.62,2843.45,106.6,2895.15,88.62,3016.53,1778,173.08,975.54
7,427.38,1179.9,398.11,1229.43,393.6,1310.49,33.78,130.59,82.185
8,1297.15,2145.98,1193.26,2316.48,1089.36,2513.62,207.79,367.64,287.715
9,1793.51,1652.16,1798.01,1638.65,1813.77,1638.65,20.26,13.51,16.885
10,2951.93,3786.08,3118.55,3786.08,3118.55,3704.17,166.62,81.9099999999999,124.265
11,2394.67,1204.1,2394.67,1127.55,2739.96,1108.4,345.29,95.6999999999998,220.495
